stock,buy_Date,sell_Date,old_price,new_price,prediction,percent_changes,Positions_Type,leverage,new_Money
BBC,04.01.2021,07.01.2021,49.83,52.44,50.83,5.24,long,1,3157.2
BBC,08.01.2021,13.01.2021,52.84,52.12,52.14,1.39,short,1,3201.09
BBC,14.01.2021,19.01.2021,54.08,55.01,54.7,1.72,long,1,3256.15
BBC,20.01.2021,01.02.2021,54.56,54.97,54.55,0.75,long,1,3280.57
BBC,02.02.2021,05.02.2021,56.77,59.25,57.73,4.38,long,1,3424.26
BBC,08.02.2021,19.02.2021,61.92,59.02,58.33,-4.67,long,1,3264.35
BBC,22.02.2021,11.03.2021,57.62,56.56,55.81,-1.84,long,1,3204.29
BBC,12.03.2021,01.04.2021,56.42,51.62,55.11,-8.51,long,1,2931.6
BBC,05.04.2021,15.04.2021,52.28,49.93,49.76,-4.49,long,1,2799.97
BBC,16.04.2021,22.04.2021,48.63,50.16,49.3,3.14,long,1,2887.89
BBC,23.04.2021,26.04.2021,49.96,51.78,50.4,3.65,long,1,2993.3
BBC,27.04.2021,28.04.2021,51.84,52.13,51.86,0.57,long,1,3010.36
BBC,29.04.2021,14.05.2021,51.33,46.1,45.91,-10.19,long,1,2703.6
BBC,17.05.2021,18.05.2021,46.46,47.15,47.11,1.5,long,1,2744.15
BBC,19.05.2021,26.05.2021,46.35,47.69,47.51,2.9,long,1,2823.73
BBC,27.05.2021,07.06.2021,48.54,49.58,48.91,2.14,long,1,2884.16
BBC,08.06.2021,11.06.2021,50.04,51.08,50.85,2.08,long,1,2944.15
BBC,14.06.2021,24.06.2021,52.0,50.63,50.57,-2.63,long,1,2866.72
BBC,25.06.2021,16.07.2021,51.13,46.12,49.59,-9.8,long,1,2585.78
BBC,19.07.2021,31.08.2021,46.17,47.74,47.68,3.4,long,1,2673.7
BBC,01.09.2021,02.09.2021,48.51,49.28,48.69,1.59,long,1,2716.21
BBC,03.09.2021,15.09.2021,48.17,47.6,49.35,-1.18,long,1,2684.16
BBC,16.09.2021,12.10.2021,47.89,45.1,44.98,-5.83,long,1,2527.67
BBC,13.10.2021,18.10.2021,45.3,44.1,44.76,2.71,short,1,2596.17
BBC,19.10.2021,20.10.2021,44.33,44.08,44.21,0.58,short,1,2611.23
BBC,21.10.2021,22.10.2021,44.48,44.29,44.35,0.43,short,1,2622.46
BBC,25.10.2021,27.10.2021,44.46,43.69,44.28,1.77,short,1,2668.88
BBC,28.10.2021,09.11.2021,44.75,46.49,46.54,-3.75,short,1,2568.8
BBC,10.11.2021,15.11.2021,45.34,44.46,44.93,1.97,short,1,2619.41
BBC,16.11.2021,17.11.2021,44.6,43.91,44.38,1.55,short,1,2660.01
BBC,18.11.2021,09.12.2021,43.35,39.01,40.85,-10.01,long,1,2393.74
BBC,10.12.2021,15.12.2021,38.12,38.92,38.81,2.11,long,1,2444.25
BBC,16.12.2021,17.12.2021,37.93,39.6,38.09,4.39,long,1,2551.55
BBC,20.12.2021,21.12.2021,39.52,39.73,39.57,0.52,long,1,2564.82
BBC,22.12.2021,28.12.2021,39.68,38.87,39.27,2.08,short,1,2618.17
BBC,29.12.2021,04.01.2022,38.54,38.28,38.44,0.67,short,1,2635.71
BBC,05.01.2022,07.01.2022,36.02,34.62,35.04,4.04,short,1,2742.19
BBC,10.01.2022,13.01.2022,34.23,32.36,33.02,5.77,short,1,2900.41
BBC,14.01.2022,01.02.2022,33.06,30.54,30.11,-7.61,long,1,2679.69
BBC,02.02.2022,07.02.2022,29.1,29.61,29.59,1.76,long,1,2726.85
BBC,08.02.2022,09.02.2022,29.54,30.91,29.86,4.63,long,1,2853.1
BBC,10.02.2022,14.02.2022,30.0,28.83,29.16,4.05,short,1,2968.65
BBC,15.02.2022,28.03.2022,30.36,27.59,29.36,-9.13,long,1,2697.61
BBC,29.03.2022,30.03.2022,28.99,28.1,28.86,3.18,short,1,2783.39
BBC,31.03.2022,01.04.2022,27.94,28.89,28.32,3.39,long,1,2877.75
BBC,04.04.2022,08.04.2022,29.88,27.64,28.49,8.13,short,1,3111.71
BBC,11.04.2022,22.04.2022,26.37,23.81,23.92,10.77,short,1,3446.84
BBC,25.04.2022,17.05.2022,24.46,20.51,20.08,-16.16,long,1,2889.83
BBC,18.05.2022,07.06.2022,19.28,21.0,20.53,8.88,long,1,3146.45
BBC,08.06.2022,09.06.2022,21.2,20.55,20.88,3.14,short,1,3245.25
BBC,10.06.2022,13.06.2022,19.41,18.24,19.18,6.4,short,1,3452.95
BBC,14.06.2022,21.06.2022,18.43,20.6,19.71,11.75,long,1,3858.67
BBC,22.06.2022,01.07.2022,21.0,22.34,22.41,6.39,long,1,4105.24
BBC,05.07.2022,18.07.2022,23.81,23.86,24.5,-0.21,short,1,4096.62
BBC,19.07.2022,22.07.2022,25.1,24.44,24.98,2.69,short,1,4206.82
BBC,25.07.2022,29.07.2022,24.27,24.01,24.08,1.09,short,1,4252.67
BBC,01.08.2022,22.08.2022,23.22,26.05,26.12,-10.86,short,1,3790.83
BBC,23.08.2022,26.08.2022,26.66,25.9,26.39,2.95,short,1,3902.66
BBC,29.08.2022,30.08.2022,25.56,24.97,25.23,2.37,short,1,3995.15
BBC,31.08.2022,01.09.2022,25.34,25.95,25.43,2.41,long,1,4091.43
BBC,02.09.2022,06.09.2022,25.59,24.67,24.99,3.71,short,1,4243.22
BBC,07.09.2022,21.09.2022,25.91,24.05,24.57,7.7,short,1,4569.95
BBC,22.09.2022,26.09.2022,23.77,22.97,23.02,3.5,short,1,4729.9
BBC,27.09.2022,06.10.2022,23.5,25.96,22.98,-9.48,short,1,4281.51
BBC,07.10.2022,19.10.2022,24.77,23.78,23.97,4.16,short,1,4459.62
BBC,20.10.2022,04.11.2022,23.89,25.06,25.18,-4.69,short,1,4250.46
BBC,07.11.2022,10.11.2022,24.58,25.75,24.76,4.73,long,1,4451.51
BBC,11.11.2022,16.11.2022,26.41,25.56,25.92,3.31,short,1,4598.85
BBC,17.11.2022,30.11.2022,24.9,25.46,24.46,2.26,long,1,4702.78
BBC,01.12.2022,02.12.2022,25.14,26.03,25.36,3.55,long,1,4869.73
BBC,05.12.2022,23.12.2022,25.15,24.02,25.72,-4.49,long,1,4651.08
BBC,27.12.2022,29.12.2022,23.15,24.7,23.76,6.69,long,1,4962.24
BBC,30.12.2022,12.01.2023,24.99,27.09,26.63,8.42,long,1,5380.06
BBC,13.01.2023,18.01.2023,27.36,26.58,26.88,2.95,short,1,5538.77
BBC,19.01.2023,10.02.2023,26.45,26.57,26.59,-0.44,short,1,5514.4
BBC,13.02.2023,06.03.2023,26.33,24.71,26.41,-6.14,long,1,5175.82
BBC,07.03.2023,06.04.2023,24.68,21.73,21.65,-11.95,long,1,4557.31
BBC,10.04.2023,17.04.2023,21.52,23.49,22.7,9.15,long,1,4974.3
BBC,18.04.2023,25.04.2023,23.36,23.0,23.26,1.61,short,1,5054.39
BBC,26.04.2023,01.05.2023,22.85,23.64,23.2,3.46,long,1,5229.27
BBC,02.05.2023,03.05.2023,23.14,24.04,23.62,3.87,long,1,5431.64
BBC,04.05.2023,05.05.2023,24.24,24.92,24.71,2.83,long,1,5585.36
BBC,08.05.2023,09.05.2023,24.8,25.26,25.05,1.84,long,1,5688.13
BBC,10.05.2023,22.05.2023,25.2,25.2,25.08,-0.01,long,1,5687.56
BBC,23.05.2023,02.06.2023,25.38,24.99,25.83,-1.52,long,1,5601.11
BBC,05.06.2023,06.06.2023,25.23,25.8,25.46,2.27,long,1,5728.26
BBC,07.06.2023,31.07.2023,25.86,24.08,24.85,-6.88,long,1,5334.16
BBC,01.08.2023,02.08.2023,23.86,23.43,23.56,1.83,short,1,5431.78
BBC,03.08.2023,22.09.2023,23.25,19.64,21.44,-15.53,long,1,4588.22
BBC,25.09.2023,26.09.2023,19.27,19.49,19.35,1.18,long,1,4642.36
BBC,27.09.2023,01.11.2023,19.62,18.11,17.95,-7.7,long,1,4284.9
BBC,02.11.2023,09.11.2023,18.36,17.49,17.9,5.01,short,1,4499.57
BBC,10.11.2023,14.11.2023,17.35,18.42,18.04,6.14,long,1,4775.84
BBC,15.11.2023,29.11.2023,18.71,19.42,19.4,3.77,long,1,4955.89
BBC,30.11.2023,04.12.2023,19.62,20.63,20.51,5.17,long,1,5212.11
BBC,05.12.2023,06.12.2023,20.57,20.87,20.64,1.42,long,1,5286.12
BBC,07.12.2023,13.12.2023,21.23,21.97,21.72,3.49,long,1,5470.61
BBC,14.12.2023,22.12.2023,22.6,23.62,23.51,4.51,long,1,5717.33
BBC,26.12.2023,05.01.2024,24.56,24.34,25.03,-0.92,long,1,5664.73
BBC,08.01.2024,25.01.2024,25.79,24.95,24.81,-3.28,long,1,5478.93
BBC,26.01.2024,29.01.2024,25.09,25.97,25.65,3.51,long,1,5671.24
BBC,30.01.2024,01.02.2024,25.44,26.06,25.71,2.41,long,1,5807.92
BBC,02.02.2024,06.02.2024,25.83,26.57,26.38,2.86,long,1,5974.03
BBC,07.02.2024,09.02.2024,26.33,27.48,26.93,4.37,long,1,6235.1
BBC,12.02.2024,13.02.2024,28.33,26.87,27.48,5.44,short,1,6574.29
BBC,14.02.2024,16.02.2024,27.7,28.64,28.26,3.38,long,1,6796.5
BBC,20.02.2024,22.02.2024,27.81,28.27,28.06,1.64,long,1,6907.96
BBC,23.02.2024,26.02.2024,28.46,29.3,28.96,2.97,long,1,7113.13
BBC,27.02.2024,01.03.2024,30.98,31.35,31.31,1.18,long,1,7197.06
BBC,04.03.2024,06.03.2024,30.94,31.08,31.01,0.45,long,1,7229.45
BBC,07.03.2024,20.03.2024,30.48,29.22,28.86,-4.14,long,1,6930.15
BBC,21.03.2024,11.04.2024,29.26,28.07,27.93,-4.07,long,1,6648.09
BBC,12.04.2024,16.04.2024,27.12,26.07,26.15,4.04,short,1,6916.67
BBC,17.04.2024,29.04.2024,25.74,26.25,26.02,1.99,long,1,7054.31
BBC,30.04.2024,01.05.2024,26.09,27.1,26.42,3.84,long,1,7325.2
BBC,02.05.2024,03.05.2024,27.27,27.89,27.48,2.27,long,1,7491.48
BBC,06.05.2024,15.05.2024,27.96,27.93,28.45,-0.11,long,1,7483.24
BBC,16.05.2024,03.06.2024,27.81,27.26,27.08,-2.0,long,1,7333.58
BBC,04.06.2024,17.06.2024,26.93,26.1,26.41,3.19,short,1,7567.52
BBC,18.06.2024,21.06.2024,25.09,25.51,25.38,1.65,long,1,7692.38
BBC,24.06.2024,09.07.2024,25.75,26.34,25.58,2.28,long,1,7867.77
BBC,10.07.2024,05.08.2024,26.72,26.08,26.75,2.42,short,1,8058.17
BBC,06.08.2024,07.08.2024,26.4,25.43,25.68,3.83,short,1,8366.8
BBC,08.08.2024,15.08.2024,25.94,26.7,26.63,2.93,long,1,8611.95
BBC,16.08.2024,19.08.2024,26.53,27.38,27.09,3.23,long,1,8890.12
BBC,20.08.2024,26.08.2024,27.48,28.33,28.25,3.08,long,1,9163.94
BBC,27.08.2024,06.09.2024,27.87,26.67,28.36,-4.31,long,1,8768.97
BBC,09.09.2024,13.09.2024,27.63,28.93,28.36,4.72,long,1,9182.87
BBC,16.09.2024,19.09.2024,28.6,29.39,29.12,2.73,long,1,9433.56
BBC,20.09.2024,08.10.2024,29.19,28.15,28.0,-3.56,long,1,9097.73
BBC,09.10.2024,11.10.2024,27.75,28.7,28.61,3.4,long,1,9407.05
BBC,14.10.2024,16.10.2024,29.26,30.44,29.86,4.01,long,1,9784.27
